0	1	2
138	139	2
166	167	1
107	108	2
205	205	4
70	70	8
11	12	2
203	203	5
104	104	3
115	115	2
54	189	1
86	86	2
214	215	2
151	152	2
183	183	1
205	222	1
54	61	1
181	183	1
112	113	1
85	99	1
151	172	1
39	179	1
190	190	4
169	190	1
40	40	4
59	59	4
175	175	3
49	50	3
115	116	2
220	220	5
220	239	2
49	49	2
63	69	1
124	129	1
120	120	6
216	237	1
233	234	2
40	166	1
97	97	3
188	189	2
202	202	6
136	137	1
172	178	1
109	109	8
197	206	1
120	202	1
159	164	2
36	39	1
141	143	2
103	107	2
137	137	6
234	234	1
205	206	1
106	134	1
28	28	3
111	129	1
62	62	1
223	224	1
198	215	1
98	98	1
176	182	1
230	230	4
138	138	5
152	153	3
173	202	1
140	147	3
189	191	1
99	99	2
118	167	2
153	154	2
169	171	1
58	58	4
136	136	6
157	157	3
65	69	1
190	197	1
195	195	3
84	84	4
105	105	5
60	211	1
11	18	2
98	128	1
177	177	3
5	5	4
218	222	1
13	14	1
78	78	5
143	144	1
125	148	1
8	9	2
0	2	1
45	45	3
185	185	1
125	125	4
228	230	1
178	179	1
125	162	1
211	212	1
181	194	1
176	177	1
208	208	5
22	22	2
197	197	3
65	66	1
4	165	1
81	171	1
212	213	1
153	155	4
46	187	1
51	54	1
24	60	2
158	159	2
185	208	1
203	209	2
69	70	1
77	78	1
124	124	4
207	218	1
100	151	1
18	19	2
122	124	1
186	186	1
190	227	1
147	148	1
157	205	1
6	22	1
167	167	1
6	7	2
37	228	1
176	176	3
212	215	1
39	39	2
35	35	2
189	189	3
145	147	1
54	74	2
0	5	1
28	48	2
63	106	1
151	153	2
56	100	3
120	175	2
193	227	2
47	172	1
211	216	1
144	192	2
23	23	3
165	177	1
35	36	1
98	116	2
68	68	2
180	182	1
15	85	1
201	202	1
210	212	1
91	91	1
1	2	2
154	155	2
181	182	2
179	179	2
63	63	2
0	7	1
117	117	1
228	229	1
16	67	1
114	134	1
0	69	1
53	53	2
194	194	3
140	140	4
235	236	1
216	217	2
161	225	1
144	146	1
158	158	6
155	159	1
135	235	1
150	152	1
80	104	2
11	16	1
144	145	2
46	46	1
134	140	1
225	225	1
125	128	1
204	224	1
169	180	1
51	142	1
33	37	1
32	32	4
187	189	1
164	168	4
21	68	2
25	25	1
137	152	1
184	185	2
73	73	3
222	228	1
185	187	1
225	230	1
56	72	1
162	162	4
200	200	1
211	211	1
214	214	4
44	242	1
54	54	1
191	203	1
158	179	1
51	71	1
21	21	2
42	42	2
149	151	1
32	35	3
28	32	2
38	38	2
150	158	1
122	123	2
57	59	1
193	212	1
32	69	1
12	12	3
29	29	1
51	78	2
119	119	1
29	30	1
59	62	2
10	10	2
199	226	2
145	146	1
61	218	2
44	44	4
229	230	1
196	206	1
215	221	2
160	201	1
52	52	2
103	103	2
199	230	1
24	218	1
5	34	1
39	40	2
8	197	2
146	146	1
148	148	2
232	232	2
150	203	1
29	32	1
122	125	1
105	165	1
16	16	1
0	0	2
152	152	1
126	126	2
240	240	1
72	215	1
141	142	2
99	147	1
184	219	1
121	169	1
58	61	1
212	237	1
224	224	4
175	177	1
69	74	1
177	179	1
132	133	2
30	30	1
40	42	3
32	33	2
223	223	2
20	27	1
150	192	1
203	239	1
189	190	1
172	197	1
221	222	1
118	118	1
103	108	1
48	52	1
61	62	1
6	15	2
106	143	1
6	119	1
5	24	1
174	210	1
15	20	1
99	181	1
24	24	1
194	195	1
226	230	2
64	64	2
24	61	1
98	105	1
72	72	2
15	16	1
148	149	1
195	196	2
197	205	1
153	164	1
172	175	1
235	235	1
166	168	1
99	103	1
154	191	1
216	227	1
8	220	1
147	147	1
185	196	1
125	236	1
199	200	1
131	131	1
160	161	1
103	105	1
7	17	1
55	84	1
24	63	1
17	32	1
82	82	1
150	150	2
195	215	1
166	166	1
55	56	2
64	105	1
132	164	1
137	138	2
152	179	2
44	47	1
20	20	1
164	164	1
8	22	1
204	205	2
37	38	1
221	221	2
12	14	1
186	206	1
228	228	1
169	170	1
206	206	1
172	174	1
74	74	1
186	191	1
113	113	1
17	75	1
201	236	1
48	59	1
36	212	1
112	114	1
129	136	1
36	37	1
25	26	1
101	101	1
111	111	1
185	186	1
64	65	1
217	218	1
135	136	1
23	223	1
56	73	1
191	191	1
43	44	1
149	154	1
9	19	1
117	124	1
58	63	1
75	76	1
158	188	1
101	109	1
222	223	1
80	81	1
229	237	2
130	133	1
78	80	1
45	47	1
119	202	1
172	200	1
184	190	1
57	60	1
122	122	1
170	198	1
46	119	1
220	235	1
37	37	1
186	188	1
12	104	1
200	221	1
22	37	1
2	4	1
196	227	2
160	170	1
47	48	1
220	221	1
174	180	1
193	194	2
72	79	1
104	123	1
2	3	2
50	142	1
226	227	1
183	184	1
62	63	1
27	51	1
15	15	1
120	122	2
9	65	1
46	55	1
24	32	1
126	144	1
53	56	1
213	217	1
57	58	1
168	168	2
209	209	1
85	85	1
108	108	1
210	214	1
77	77	1
214	230	2
184	186	1
43	80	1
227	227	1
227	240	1
48	49	1
30	36	1
3	3	1
8	42	1
170	232	1
50	53	1
129	129	1
8	8	1
32	186	1
126	131	1
173	178	1
0	82	1
136	149	1
133	133	1
158	166	1
11	11	1
163	166	1
163	163	1
33	49	1
